c1,c2,c1_wins,c2_wins,total_games
Dark_Pit,Greninja,0,0,0
Dark_Pit,Hero,0,0,0
Dark_Pit,Ice_Climbers,0,0,0
Dark_Pit,Ike,0,0,0
Dark_Pit,Incineroar,0,0,0
Dark_Pit,Inkling,0,0,0
Dark_Pit,Isabelle,0,0,0
Dark_Pit,Jigglypuff,0,0,0
Dark_Pit,Joker,0,0,0
Dark_Pit,Ken,0,0,0
Dark_Pit,King_Dedede,0,0,0
Dark_Pit,King_K_Rool,0,0,0
Dark_Pit,Kirby,0,0,0
Dark_Pit,Link,2,0,2
Dark_Pit,Little_Mac,0,0,0
Dark_Pit,Lucario,0,2,2
Dark_Pit,Lucas,0,0,0
Dark_Pit,Lucina,0,0,0
Dark_Pit,Luigi,0,0,0
Dark_Pit,Mario,0,0,0
Dark_Pit,Marth,0,0,0
Dark_Pit,Mega_Man,0,0,0
Dark_Pit,Meta_Knight,0,0,0
Dark_Pit,Mewtwo,0,0,0
Dark_Pit,Mii_Brawler,0,0,0
Dark_Pit,Mii_Gunner,0,0,0
Dark_Pit,Mii_Swordfighter,0,0,0
Dark_Pit,Mr_Game_&_Watch,0,0,0
Dark_Pit,Ness,0,0,0
Dark_Pit,Olimar,0,0,0
Dark_Pit,Pac-Man,0,0,0
Dark_Pit,Palutena,1,3,4
Dark_Pit,Peach,0,0,0
Dark_Pit,Pichu,0,0,0
Dark_Pit,Pikachu,0,0,0
Dark_Pit,Piranha_Plant,0,0,0
Dark_Pit,Pit,0,0,0
Dark_Pit,Pokemon_Trainer,0,0,0
Dark_Pit,ROB,0,0,0
Dark_Pit,Richter,0,0,0
Dark_Pit,Ridley,0,0,0
Dark_Pit,Robin,0,0,0
Dark_Pit,Rosalina,0,0,0
Dark_Pit,Roy,0,0,0
Dark_Pit,Ryu,0,0,0
Dark_Pit,Samus,0,0,0
Dark_Pit,Sheik,0,0,0
Dark_Pit,Shulk,0,0,0
Dark_Pit,Simon,0,0,0
Dark_Pit,Snake,3,2,5
Dark_Pit,Sonic,0,0,0
Dark_Pit,Terry,0,0,0
Dark_Pit,Toon_Link,0,0,0
Dark_Pit,Villager,0,0,0
Dark_Pit,Wario,3,0,3
Dark_Pit,Wii_Fit_Trainer,0,0,0
Dark_Pit,Wolf,0,0,0
Dark_Pit,Yoshi,0,0,0
Dark_Pit,Young_Link,0,0,0
Dark_Pit,Zelda,0,0,0
Dark_Pit,Zero_Suit_Samus,0,1,1
Dark_Samus,Diddy_Kong,1,0,1
Dark_Samus,Donkey_Kong,0,0,0
Dark_Samus,Dr_Mario,0,0,0
Dark_Samus,Duck_Hunt,0,0,0
Dark_Samus,Falco,1,2,3
Dark_Samus,Fox,0,1,1
Dark_Samus,Ganondorf,0,0,0
Dark_Samus,Greninja,3,1,4
Dark_Samus,Hero,0,0,0
Dark_Samus,Ice_Climbers,0,0,0
Dark_Samus,Ike,0,0,0
Dark_Samus,Incineroar,0,0,0
Dark_Samus,Inkling,2,3,5
Dark_Samus,Isabelle,0,0,0
Dark_Samus,Jigglypuff,0,0,0
